SCENARIO, ROBOTS, SEED, RESULT
1, 13, 1, 22
1, 13, 2, 21
1, 13, 3, 23
1, 13, 4, 18
1, 13, 5, 21
1, 13, 6, 22
1, 13, 7, 21
1, 13, 8, 21
1, 13, 9, 22
1, 13, 10, 20
2, 13, 1, 19
2, 13, 2, 21
2, 13, 3, 16
2, 13, 4, 22
2, 13, 5, 20
2, 13, 6, 21
2, 13, 7, 23
2, 13, 8, 21
2, 13, 9, 21
2, 13, 10, 23
3, 13, 1, 0
3, 13, 2, 0
3, 13, 3, 0
3, 13, 4, 0
3, 13, 5, 0
3, 13, 6, 0
3, 13, 7, 0
3, 13, 8, 0
3, 13, 9, 0
3, 13, 10, 0
4, 13, 1, 0
4, 13, 2, 0
4, 13, 3, 0
4, 13, 4, 0
4, 13, 5, 0
4, 13, 6, 0
4, 13, 7, 0
4, 13, 8, 0
4, 13, 9, 0
4, 13, 10, 0
