SCENARIO, ROBOTS, SEED, RESULT
2, 2, 1, 3
2, 2, 2, 11
2, 2, 3, 12
2, 2, 4, 7
2, 2, 5, 0
2, 2, 6, 8
2, 2, 7, 8
2, 2, 8, 5
2, 2, 9, 12
2, 2, 10, 0
2, 3, 1, 10
2, 3, 2, 9
2, 3, 3, 2
2, 3, 4, 10
2, 3, 5, 13
2, 3, 6, 21
2, 3, 7, 11
2, 3, 8, 8
2, 3, 9, 15
2, 3, 10, 14
2, 4, 1, 3
2, 4, 2, 15
2, 4, 3, 14
2, 4, 4, 14
2, 4, 5, 0
2, 4, 6, 6
2, 4, 7, 18
2, 4, 8, 12
2, 4, 9, 12
2, 4, 10, 12
2, 5, 1, 16
2, 5, 2, 13
2, 5, 3, 5
2, 5, 4, 20
2, 5, 5, 15
2, 5, 6, 10
2, 5, 7, 19
2, 5, 8, 13
2, 5, 9, 18
2, 5, 10, 11
2, 6, 1, 13
2, 6, 2, 22
2, 6, 3, 17
2, 6, 4, 18
2, 6, 5, 13
2, 6, 6, 19
2, 6, 7, 20
2, 6, 8, 21
2, 6, 9, 4
2, 6, 10, 19
2, 7, 1, 16
2, 7, 2, 20
2, 7, 3, 20
2, 7, 4, 22
2, 7, 5, 21
2, 7, 6, 17
2, 7, 7, 14
2, 7, 8, 20
2, 7, 9, 16
2, 7, 10, 18
2, 8, 1, 19
2, 8, 2, 22
2, 8, 3, 17
2, 8, 4, 17
2, 8, 5, 22
2, 8, 6, 21
2, 8, 7, 20
2, 8, 8, 24
2, 8, 9, 18
2, 8, 10, 19
2, 9, 1, 19
2, 9, 2, 19
2, 9, 3, 14
2, 9, 4, 20
2, 9, 5, 18
2, 9, 6, 22
2, 9, 7, 19
2, 9, 8, 24
2, 9, 9, 21
2, 9, 10, 21
2, 10, 1, 21
2, 10, 2, 22
2, 10, 3, 21
2, 10, 4, 23
2, 10, 5, 22
2, 10, 6, 22
2, 10, 7, 13
2, 10, 8, 20
2, 10, 9, 21
2, 10, 10, 21
2, 11, 1, 23
2, 11, 2, 20
2, 11, 3, 21
2, 11, 4, 21
2, 11, 5, 18
2, 11, 6, 5
2, 11, 7, 23
2, 11, 8, 20
2, 11, 9, 24
2, 11, 10, 19
2, 12, 1, 22
2, 12, 2, 18
2, 12, 3, 20
2, 12, 4, 18
2, 12, 5, 23
2, 12, 6, 21
2, 12, 7, 19
2, 12, 8, 23
2, 12, 9, 22
2, 12, 10, 20
2, 13, 1, 23
2, 13, 2, 25
2, 13, 3, 21
2, 13, 4, 22
2, 13, 5, 20
2, 13, 6, 23
2, 13, 7, 23
2, 13, 8, 25
2, 13, 9, 22
2, 13, 10, 23
2, 14, 1, 25
2, 14, 2, 22
2, 14, 3, 16
2, 14, 4, 21
2, 14, 5, 22
2, 14, 6, 23
2, 14, 7, 22
2, 14, 8, 20
2, 14, 9, 22
2, 14, 10, 19
2, 15, 1, 22
2, 15, 2, 20
2, 15, 3, 24
2, 15, 4, 21
2, 15, 5, 22
2, 15, 6, 22
2, 15, 7, 15
2, 15, 8, 22
2, 15, 9, 23
2, 15, 10, 19
2, 16, 1, 22
2, 16, 2, 24
2, 16, 3, 23
2, 16, 4, 22
2, 16, 5, 22
2, 16, 6, 22
2, 16, 7, 22
2, 16, 8, 24
2, 16, 9, 20
2, 16, 10, 23
2, 17, 1, 21
2, 17, 2, 23
2, 17, 3, 21
2, 17, 4, 23
2, 17, 5, 23
2, 17, 6, 21
2, 17, 7, 23
2, 17, 8, 25
2, 17, 9, 24
2, 17, 10, 22
2, 18, 1, 22
2, 18, 2, 23
2, 18, 3, 22
2, 18, 4, 21
2, 18, 5, 24
2, 18, 6, 24
2, 18, 7, 23
2, 18, 8, 21
2, 18, 9, 22
2, 18, 10, 24
2, 19, 1, 20
2, 19, 2, 23
2, 19, 3, 21
2, 19, 4, 20
2, 19, 5, 23
2, 19, 6, 22
2, 19, 7, 22
2, 19, 8, 23
2, 19, 9, 24
2, 19, 10, 23
2, 20, 1, 23
2, 20, 2, 20
2, 20, 3, 24
2, 20, 4, 21
2, 20, 5, 21
2, 20, 6, 21
2, 20, 7, 21
2, 20, 8, 23
2, 20, 9, 23
2, 20, 10, 19
2, 60, 1, 25
2, 60, 2, 22
2, 60, 3, 21
2, 60, 4, 23
2, 60, 5, 21
2, 60, 6, 22
2, 60, 7, 22
2, 60, 8, 21
2, 60, 9, 24
2, 60, 10, 23
2, 100, 1, 23
2, 100, 2, 22
2, 100, 3, 23
2, 100, 4, 19
2, 100, 5, 19
2, 100, 6, 22
2, 100, 7, 22
2, 100, 8, 20
2, 100, 9, 21
2, 100, 10, 21
2, 125, 1, 24
2, 125, 2, 20
2, 125, 3, 18
2, 125, 4, 19
2, 125, 5, 22
2, 125, 6, 20
2, 125, 7, 23
2, 125, 8, 18
2, 125, 9, 21
2, 125, 10, 20
2, 150, 1, 19
2, 150, 2, 13
2, 150, 3, 18
2, 150, 4, 20
2, 150, 5, 18
2, 150, 6, 17
2, 150, 7, 16
2, 150, 8, 19
2, 150, 9, 20
2, 150, 10, 17
